title,location,size,price
4 Bed Villa with En Suite in Ridgeways,Ridgeways,3 LEVEL VILLA FOR RENT ON KIAMBU ROAD,420000.0
2 Bed House with En Suite in Nyari,"Nyari, Westlands","Fully Furnished 2 Bedroom Guest House To Let, N...",130000.0
3 Bed Townhouse with En Suite in Lavington,Lavington,Charming 3 bedroom bungalow stand alone commerc...,400000.0
4 Bed Villa with En Suite in Kiambu Road,Kiambu Road,Five Star Meadow,160000.0
4 Bed Townhouse with En Suite at Kitisuru,"kitisuru, Kitisuru, Westlands",Welcoming! Kitisuru Four Bedroom Family Home in...,250000.0
4 Bed Villa with En Suite at Kitisuru,"kitisuru, Kitisuru, Westlands",LUXURY LIVING! KITISURU 4 BEDROOM VILLA IN A GA...,400000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,IMPRESSIVE MODERN! 5 BEDROOM TOWNHOUSE IN LAVIN...,330000.0
4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,4 Bedroom townhouse plus DSQ,350000.0
4 Bed House with En Suite at Runda,"01, Runda, Gigiri, Westlands",Executive 4 Bedroom House All en-suite + dsq fo...,330000.0
5 Bed House with En Suite in Thindigua,Thindigua,"Bedroom Houses Near Windsor Golf Cub, Nairobi (...",120000.0
4 Bed House with En Suite at Kitisuru,"01, Kitisuru, Westlands",Spacious 4 Bedroom House all en-suite + dsq for...,250000.0
5 Bed House with En Suite at Runda,"runda, Runda, Westlands",Beautiful 5-Bedroom House For Rent in Runda wit...,400000.0
4 Bed Townhouse with En Suite at Runda,"runda, Runda, Westlands",Luxury Defined 4-bedroom UNFURNISHED Villa to L...,450000.0
4 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands",4 BEDROOM ALL- ENSUITE TOWNHOUSE AT BROOKESIDE.,250000.0
4 Bed House with En Suite at Runda,"runda, Runda, Westlands",UN Approved! Four Bedroom Villa to Let In Runda...,300000.0
5 Bed Villa with En Suite in Karen Hardy,Karen Hardy,furnished 5 bedrooms villa with a guest wing,300000.0
4 Bed House with En Suite at Lower Kabete,"01, Lower Kabete, Westlands",Executive 4 Bedroom House all en-suite + Dsq f...,250000.0
3 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",New 3 Bedroom Modern House,350000.0
4 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",Charming 4 bedroom family home to let in Kyuna,250000.0
4 Bed House with En Suite in Brookside,"01, Brookside, Westlands",Executive 4 Bedroom House all en-suite + dsq fo...,250000.0
5 Bed House with En Suite at Runda,"runda, Runda, Westlands",Exceptional and Gorgeous! Runda 5-Bedroom Stand...,380000.0
5 Bed Townhouse with En Suite in Gigiri,"Gigiri, Westlands",All ensuite 5 bedroom townhouse in Gigiri,474000.0
4 Bed House with En Suite at Kitisuru,"kitisuru, Kitisuru, Westlands",Newly Renovated! Kitisuru Lake View Four Bedroo...,300000.0
4 Bed House with En Suite in Brookside,"01, Brookside, Westlands",Executive 4 bedroom house All en-suite + dsq Av...,250000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,Commodious 4 Bedroom townhouse plus DSQ for 2,450000.0
4 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",Spectacular and modern four-bedroom townhouse i...,220000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,ALL-ENSUITE 4 BEDROOM TOWNHOUSE IN LAVINGTON.,350000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,Exquisite all ensuite 4 bedroom townhouse in la...,350000.0
6 Bed House with En Suite at Muthaiga,Muthaiga,Custom Design! Muthaiga North Six Bedroom Mansi...,300000.0
4 Bed House with En Suite at Muthaiga,Muthaiga,Charming and Rustic! Old Muthaiga Four Bedroom...,350000.0
4 Bed House with En Suite at Muthaiga,Muthaiga,Country Views! Muthaiga Four Bedroom Bungalow i...,370000.0
3 Bed House with En Suite at Muthaiga,Muthaiga,Charming and Rustic! Muthaiga Three Bedroom Cot...,330000.0
5 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,Elegant 5 bedroom all ensuite townhouse,350000.0
